,state,x,y
0,Andhra Pradesh,-65.0,-126.0
1,Arunachal Pradesh,183.0,101.0
2,Assam,150.0,63.0
3,Bihar,49.0,50.0
4,Chhattisgarh,-13.0,-21.0
5,Goa,-150.0,-119.0
6,Gujarat,-178.0,14.0
7,Haryana,-98.0,113.0
8,Himachal Pradesh,-81.0,164.0
9,Jharkhand,39.0,13.0
10,Karnataka,-124.0,-137.0
11,Kerala,-113.0,-213.0
12,Madhya Pradesh,-83.0,8.0
13,Maharashtra,-130.0,-54.0
14,Manipur,177.0,43.0
15,Meghalaya,134.0,52.0
16,Mizoram,162.0,15.0
17,Nagaland,186.0,63.0
18,Odisha,30.0,-39.0
19,Punjab,-109.0,143.0
20,Rajasthan,-150.0,75.0
21,Sikkim,91.0,87.0
22,Tamil Nadu,-76.0,-200.0
23,Telangana,-66.0,-79.0
24,Tripura,140.0,21.0
25,Uttarakhand,-48.0,129.0
26,Uttar Pradesh,-41.0,80.0
27,West Bengal,80.0,8.0
